nps_site_name,polyid,haulout
ADAMS OUTWASH,DF01,XX
ADAMS ROCK,DF01,DF01A
ADAMS SAND,DF01,DF01C
ADAMS SOUTH,DF01,XX
BARTLETT RIVER MOUTH,CF47,XX
BEARDSLEE ISLET,CF48,CF48H
BOULDER ISLAND,CF48,CF48D
BOULDER REEF,CF48,CF48D
CAROLINE SHOAL,DF04,XX
EIDER ISLAND,CF48,XX
FLAPJACK ISLAND,CF48,CF48C
GARFORTH ISLAND,DF00,DF00B
GEIKIE INLET,DF14,DF14A
GEIKIE ROCK,DF13,DF13B
HUGH MILLER INLET,DF12,DF12C
HUTCHINS REEF,CF48,CF48E
ISLAND 29,CF48,XX
KIDNEY REEF,CF48,CF48A
LELAND REEF,CF49,CF49A
LINK REEF,CF48,CF48F
LONE ISLAND,DF13,DF13A
MCBRIDE INLET,DF29,DF29A
MUIR INLET,DF30,XX
NORTH MARBLE ISLAND,CF49,CF49B
POINT CAROLUS,CF50,CF50A
QUEEN INLET,DF28,DF28A
REID INLET,DF11,XX
RUSSELL ISLETS NORTH,DF07,XX
RUSSELL ISLETS SOUTH,DF07,XX
SANDY COVE MAINLAND,DF00,XX
SANDY COVE ROCK,DF00,DF00C
SCIDMORE REEF,DF12,DF12A
SCIDMORE WEST,DF12,DF12B
SECRET BAY,CF47,CF47A
SECRET BAY ENTRANCE,CF48,XX
SITA REEF,CF48,CF48G
SOUTH MARBLE ISLAND,CF49,XX
SPIDER EAST,CF48,XX
SPIDER ISLAND,CF48,CF48I
SPIDER REEF,CF48,CF48B
STURGESS ISLAND,DF00,DF00D
TARR INLET NORTH,DF09,DF09A
WACHUSETT INLET OUTWASH,DF31,DF31A
